136953,Teleflora,teleflora.com,20-percent-off-sitewide,http://www.retailmenot.com/out/4729971,"  20% Off Sitewide  ","234 people used today","Last used 1 hour ago","7 votes",RETAILMENOT20OFF
136953,Teleflora,teleflora.com,25-percent-off-sitewide,http://www.retailmenot.com/out/4626106,"  25% Off Sitewide  ","199 people used today","Last used 1 hour ago","308 votes",EMCS25
136953,Teleflora,teleflora.com,10-off-bouquets,http://www.retailmenot.com/out/4674390,"  $10 Off Bouquets  ","22 people used today","Last used 1 hour ago","2 votes",FORMOM
136953,Teleflora,teleflora.com,bouquets-from-2999,http://www.retailmenot.com/out/4548558,"  Bouquets from $29.99  Sale ","13 people used today","Last used 1 hour ago","2 votes"
136953,Teleflora,teleflora.com,flowers-from-2999,http://www.retailmenot.com/out/4660202,"  Flowers from $29.99  Sale ","2 people used today","Last used 13 hours ago","1 vote"
136953,Teleflora,teleflora.com,free-lady-antebellum-download-with-every-celebrate-mom-bouquet,http://www.retailmenot.com/out/4650904,"  Free Lady Antebellum Download with Every Celebrate Mom Bouquet  Sale ","4 people used today","Last used 2 days ago","1 vote"
136953,Teleflora,teleflora.com,deal-of-the-day,http://www.retailmenot.com/out/3896331,"  Deal of the Day  Sale ","Last used 4 hours ago","6 votes"
136953,Teleflora,teleflora.com,fresh-local-flowers,http://www.retailmenot.com/out/3821398,"  Fresh Local Flowers  Sale ","Last used 1 day ago","5 votes"
