143690,"Last Minute Travel",lastminutetravel.com,free-gift,http://www.retailmenot.com/out/4792623,"  free gift  ","5 people used today","Last used 2 hours ago","3 votes",4julyfree
143690,"Last Minute Travel",lastminutetravel.com,up-to-40-percent-off-las-vegas-hotels,http://www.retailmenot.com/out/3865140,"  Up to 40% Off Las Vegas Hotels  Sale ","4 people used today","Last used 9 hours ago","2 votes",NOW50
143690,"Last Minute Travel",lastminutetravel.com,up-to-70-percent-off-brand-name-hotels,http://www.retailmenot.com/out/3865139,"  Up to 70% Off Brand Name Hotels  Sale ","6 people used today","Last used 2 hours ago","4 votes",MEETMEINVEGAS50
143690,"Last Minute Travel",lastminutetravel.com,50-off-1000-plus-purchase-4-star-luxury-1-block-from-5th-avenue-new-york,http://www.retailmenot.com/out/4577319,"  $50 Off $1000+ Purchase 4-Star Luxury 1 Block from 5th Avenue New York  ","2 people used today","Last used 7 days ago","1 vote"
143690,"Last Minute Travel",lastminutetravel.com,50-off,http://www.retailmenot.com/out/4572977,"  $50 off flights and hotel in vegas  ","Last used 11 days ago","1 vote"
143690,"Last Minute Travel",lastminutetravel.com,up-to-40-percent-off-las-vegas-hotels,http://www.retailmenot.com/out/3865138,"  Up to 40% Off Las Vegas Hotels  Sale ","Last used 2 days ago","1 vote"
143690,"Last Minute Travel",lastminutetravel.com,up-to-70-percent-off-brand-name-hotels,http://www.retailmenot.com/out/3865141,"  Up to 70% Off Brand Name Hotels  Sale ","Last used 14 hours ago","5 votes"
