296170,Joyus,joyus.com,free-shipping-on-50,http://www.retailmenot.com/out/3941544,"  Free Shipping on $50  ","2 people used today","Last used 6 days ago","12 votes",FREE50
296170,Joyus,joyus.com,15-percent-off,http://www.retailmenot.com/out/4072152,"  15% off on 3 gorgeous necklaces  ","6 people used today","Last used 14 hours ago","4 votes",PEOPLE15
296170,Joyus,joyus.com,15-percent-off,http://www.retailmenot.com/out/4813741,"  15% off your purchase with code  ","2 people used today","Last used 2 hours ago","1 vote",STYLE15
296170,Joyus,joyus.com,50-percent-off-french-connection,http://www.retailmenot.com/out/4423522,"  50% Off French Connection  Sale ","Last used 1 day ago","1 vote",SHIP2013
296170,Joyus,joyus.com,50-percent-off-joyus-crystal-earrings,http://www.retailmenot.com/out/4423523,"  50% Off Joyus Crystal Earrings  Sale ","Last used 22 days ago","1 vote"
296170,Joyus,joyus.com,free-shipping,http://www.retailmenot.com/out/4367187,"  free shipping on orders over $50 ...  ","Last used 1 day ago","1 vote"
296170,Joyus,joyus.com,get-100-points-for-joining-with-this-link-http-for-for-wwwjoyuscom-for-t-for-tyidvy8eil,http://www.retailmenot.com/out/3620210,"  get 100 points for joining with this link
http://www.joyus.com/t/tyidvy8eil  Sale ","Last used 6 hours ago","1 vote"
